Source,Target
3,28
3,106
3,147
3,177
3,295
3,407
15,21
15,48
15,200
15,211
15,242
15,480
15,771
15,791
15,826
15,845
20,634
21,15
21,200
21,826
28,295
28,327
28,407
28,441
28,478
45,48
45,79
45,134
45,232
45,601
48,45
48,79
48,488
62,650
65,681
65,809
79,45
79,601
87,134
87,211
87,242
87,388
87,488
87,496
87,826
89,120
89,232
89,285
89,488
101,119
101,240
101,364
101,425
106,272
106,587
106,1214
119,101
119,122
119,240
119,425
120,89
120,232
120,488
122,119
124,471
124,475
124,681
124,970
134,87
134,388
134,496
145,62
145,122
145,400
145,428
145,489
145,650
145,945
147,3
147,28
147,106
147,407
151,156
151,502
151,694
151,753
151,866
151,1359
156,454
156,694
159,201
159,454
159,640
159,642
165,268
165,498
170,272
170,494
170,778
173,295
173,429
173,441
177,400
177,407
177,809
177,857
177,945
200,15
200,21
200,448
200,601
200,751
200,826
201,245
201,582
210,89
210,120
210,200
210,232
210,285
210,468
210,751
210,845
211,242
211,468
211,488
211,845
232,89
232,120
232,285
232,488
240,101
240,425
242,87
242,211
242,388
242,468
242,480
242,791
245,201
245,502
245,691
245,869
245,1237
245,1423
255,122
255,275
265,364
265,494
265,587
268,28
268,165
268,407
268,504
272,106
272,372
275,255
275,650
285,89
285,120
285,232
285,468
285,488
285,845
295,28
295,954
327,28
327,295
327,372
327,478
364,101
364,265
364,268
364,425
364,650
372,272
372,429
372,441
372,478
388,45
388,79
388,87
388,134
388,496
400,145
400,177
400,407
400,428
400,489
400,857
400,945
400,984
407,3
407,28
407,65
407,147
407,268
407,429
407,441
407,809
425,101
425,119
425,122
425,240
425,364
428,145
428,240
428,400
428,489
428,927
428,945
429,327
429,372
429,441
429,478
441,295
441,372
441,407
441,429
441,478
441,504
448,21
448,89
448,134
448,200
448,210
448,211
448,388
448,496
448,751
448,826
448,845
454,640
454,874
468,120
468,210
468,211
468,242
468,285
468,388
468,601
468,845
471,65
471,124
471,272
471,372
471,475
471,478
471,681
471,809
471,970
475,124
475,471
475,681
478,372
478,429
478,441
480,21
480,771
480,791
488,48
489,145
489,400
489,428
489,945
494,106
494,170
494,265
494,272
494,364
494,587
494,778
496,687
498,165
502,151
502,201
502,245
502,582
502,634
502,691
502,866
502,869
504,28
504,165
504,295
504,407
504,429
504,441
520,576
520,605
525,159
525,577
525,640
525,694
576,520
576,605
577,525
577,694
582,201
582,605
582,642
587,106
587,265
587,272
587,364
587,494
587,778
587,1805
601,388
605,201
605,520
605,576
605,582
605,642
605,687
634,691
634,869
634,1332
640,159
640,454
640,642
642,159
642,201
642,454
642,582
642,640
642,691
650,268
650,275
650,364
681,65
681,124
681,471
681,809
681,970
687,582
687,605
691,245
691,502
691,634
691,869
691,1332
694,156
694,525
694,577
725,927
753,151
753,577
753,866
771,15
771,21
771,200
771,480
771,791
771,826
778,106
778,364
778,587
778,1805
791,15
791,21
791,448
791,480
791,771
809,65
809,681
826,15
826,21
826,200
826,601
845,15
845,48
845,200
845,210
845,211
845,232
845,242
845,285
845,448
845,826
857,400
857,498
857,945
857,954
866,151
866,156
866,159
866,502
866,640
866,694
866,753
866,1359
866,1401
869,502
869,634
869,691
874,454
927,725
945,65
945,145
945,177
945,400
945,407
945,428
945,489
945,857
945,984
954,119
954,295
954,428
954,691
954,725
954,857
954,945
970,471
970,475
970,681
984,28
984,177
984,400
984,945
984,1332
1201,1214
1201,1295
1201,1342
1201,1594
1201,1828
1204,1342
1204,1359
1214,106
1214,1295
1228,1295
1228,1401
1228,1423
1228,1485
1237,245
1237,1260
1237,1401
1237,1423
1238,605
1238,687
1260,1237
1295,106
1295,1214
1295,1228
1295,1342
1295,1401
1295,1594
1295,1805
1295,1828
1332,634
1332,691
1332,869
1342,1201
1342,1204
1342,1214
1342,1805
1345,1228
1345,1237
1345,1295
1345,1332
1345,1401
1345,1594
1345,1805
1345,1828
1359,1204
1359,1401
1359,1423
1401,1237
1401,1295
1401,1332
1401,1359
1401,1412
1412,1201
1412,1214
1412,1228
1412,1295
1412,1332
1412,1401
1412,1423
1412,1828
1423,1228
1423,1412
1423,1485
1485,1423
1594,1201
1594,1214
1594,1295
1594,1332
1594,1345
1594,1423
1594,1828
1805,106
1805,1214
1805,1295
1828,1201
1828,1214
1828,1237
1828,1295
1828,1412
1828,1423
1828,1594
